住所,水道番号,メータ番号,町丁名,空き家推定確率
愛知県豊田市御幸本町9-9-9,W2023-0009,M10045686,御幸本町九丁目,0.12
愛知県豊田市陣中町10-10-10,W2023-0010,M10045687,陣中町十丁目,0.36
愛知県豊田市喜多町7-1-1,W2023-0001,M10045678,喜多町一丁目,0.15
愛知県豊田市西町2-2-2,W2023-0002,M10045679,西町二丁目,0.23
愛知県豊田市神田町3-3-3,W2023-0003,M10045680,神田町三丁目,0.08
愛知県豊田市山之手4-4-4,W2023-0004,M10045681,山之手四丁目,0.31
愛知県豊田市栄町5-5-5,W2023-0005,M10045682,栄町五丁目,0.19
愛知県豊田市若宮町6-6-6,W2023-0006,M10045683,若宮町六丁目,0.87
愛知県豊田市平和町7-7-7,W2023-0007,M10045684,平和町七丁目,0.05
愛知県豊田市朝日町8-8-8,W2023-0008,M10045685,朝日町八丁目,0.42
愛知県豊田市御幸本町9-9-9,W2023-0009,M10045686,御幸本町九丁目,0.12
愛知県豊田市陣中町10-10-10,W2023-0010,M10045687,陣中町十丁目,0.36
愛知県豊田市喜多町1-1-1,W2023-0001,M10045678,喜多町一丁目,0.15
愛知県豊田市西町2-2-2,W2023-0002,M10045679,西町二丁目,0.23
愛知県豊田市神田町3-3-3,W2023-0003,M10045680,神田町三丁目,0.08
愛知県豊田市山之手4-4-4,W2023-0004,M10045681,山之手四丁目,0.31
愛知県豊田市栄町5-5-5,W2023-0005,M10045682,栄町五丁目,0.19
愛知県豊田市若宮町6-6-6,W2023-0006,M10045683,若宮町六丁目,0.87
愛知県豊田市平和町7-7-7,W2023-0007,M10045684,平和町七丁目,0.05
愛知県豊田市朝日町8-8-8,W2023-0008,M10045685,朝日町八丁目,0.42
愛知県豊田市御幸本町9-9-9,W2023-0009,M10045686,御幸本町九丁目,0.12
愛知県豊田市陣中町10-10-10,W2023-0010,M10045687,陣中町十丁目,0.36
愛知県豊田市喜多町9-1-1,W2023-0001,M10045678,喜多町一丁目,0.15
愛知県豊田市西町2-2-2,W2023-0002,M10045679,西町二丁目,0.23
愛知県豊田市神田町3-3-3,W2023-0003,M10045680,神田町三丁目,0.08
愛知県豊田市山之手4-4-4,W2023-0004,M10045681,山之手四丁目,0.31
愛知県豊田市栄町5-5-5,W2023-0005,M10045682,栄町五丁目,0.19
愛知県豊田市若宮町6-6-6,W2023-0006,M10045683,若宮町六丁目,0.87
愛知県豊田市平和町7-7-7,W2023-0007,M10045684,平和町七丁目,0.05
愛知県豊田市朝日町8-8-8,W2023-0008,M10045685,朝日町八丁目,0.42
愛知県豊田市御幸本町9-9-9,W2023-0009,M10045686,御幸本町九丁目,0.12
愛知県豊田市陣中町10-10-10,W2023-0010,M10045687,陣中町十丁目,0.36
愛知県豊田市喜多町10-1-1,W2023-0001,M10045678,喜多町一丁目,0.15
愛知県豊田市西町2-2-2,W2023-0002,M10045679,西町二丁目,0.23
愛知県豊田市神田町3-3-3,W2023-0003,M10045680,神田町三丁目,0.08
愛知県豊田市山之手4-4-4,W2023-0004,M10045681,山之手四丁目,0.31
愛知県豊田市栄町5-5-5,W2023-0005,M10045682,栄町五丁目,0.19
愛知県豊田市若宮町6-6-6,W2023-0006,M10045683,若宮町六丁目,0.87
愛知県豊田市平和町7-7-7,W2023-0007,M10045684,平和町七丁目,0.05
愛知県豊田市朝日町8-8-8,W2023-0008,M10045685,朝日町八丁目,0.42
愛知県豊田市御幸本町9-9-9,W2023-0009,M10045686,御幸本町九丁目,0.12
愛知県豊田市陣中町10-10-10,W2023-0010,M10045687,陣中町十丁目,0.36
愛知県豊田市喜多町11-1-1,W2023-0001,M10045678,喜多町一丁目,0.15
愛知県豊田市西町2-2-2,W2023-0002,M10045679,西町二丁目,0.23
愛知県豊田市神田町3-3-3,W2023-0003,M10045680,神田町三丁目,0.08
愛知県豊田市山之手4-4-4,W2023-0004,M10045681,山之手四丁目,0.31
愛知県豊田市栄町5-5-5,W2023-0005,M10045682,栄町五丁目,0.19
愛知県豊田市若宮町6-6-6,W2023-0006,M10045683,若宮町六丁目,0.87
愛知県豊田市平和町7-7-7,W2023-0007,M10045684,平和町七丁目,0.05
愛知県豊田市朝日町8-8-8,W2023-0008,M10045685,朝日町八丁目,0.42
愛知県豊田市御幸本町9-9-9,W2023-0009,M10045686,御幸本町九丁目,0.12
愛知県豊田市陣中町10-10-10,W2023-0010,M10045687,陣中町十丁目,0.36
